Date,Venue,Home_Team,Away_Team,Home_Score,Away_Score,Home_Odds,Away_Odds
17/05/15,Gabba,Brisbane,Port Adelaide,102,65,4.61,1.2
17/05/15,MCG,Richmond,Collingwood,105,100,1.97,1.83
17/05/15,Etihad Stadium,Western Bulldogs,Fremantle,88,101,3.81,1.27
16/05/15,Domain Stadium,West Coast,Gold Coast,135,43,1.1,7.05
16/05/15,ANZ Stadium,Sydney,Geelong,120,77,1.21,4.42
16/05/15,Etihad Stadium,Carlton,GWS Giants,57,135,2.55,1.51
16/05/15,MCG,Hawthorn,Melbourne,155,50,1.08,7.9
16/05/15,Adelaide Oval,Adelaide,St Kilda,119,73,1.22,4.36
15/05/15,Etihad Stadium,Essendon,North Melbourne,82,93,2.88,1.42
10/05/15,Adelaide Oval,Port Adelaide,West Coast,68,78,1.24,4.21
10/05/15,Etihad Stadium,Carlton,Brisbane,75,84,1.31,3.53
09/05/15,Domain Stadium,Fremantle,Essendon,80,52,1.2,4.68
09/05/15,MCG,Melbourne,Sydney,50,88,5.22,1.17
09/05/15,Metricon Stadium,Gold Coast,Adelaide,78,119,5.24,1.17
09/05/15,Spotless Stadium,GWS Giants,Hawthorn,108,98,3.71,1.28
09/05/15,Etihad Stadium,Western Bulldogs,St Kilda,87,94,1.45,2.73
09/05/15,Blundstone Arena,North Melbourne,Richmond,109,74,1.59,2.35
08/05/15,MCG,Collingwood,Geelong,59,100,1.58,2.38
03/05/15,Adelaide Oval,Adelaide,Port Adelaide,91,115,2.28,1.63
03/05/15,Etihad Stadium,St Kilda,Essendon,80,82,5.64,1.14
03/05/15,MCG,Melbourne,Fremantle,50,118,5.2,1.17
02/05/15,Domain Stadium,West Coast,GWS Giants,120,33,1.67,2.22
02/05/15,Etihad Stadium,North Melbourne,Hawthorn,70,130,3.32,1.33
02/05/15,Metricon Stadium,Gold Coast,Brisbane,118,54,2.08,1.76
02/05/15,SCG,Sydney,Western Bulldogs,73,77,1.15,5.36
02/05/15,MCG,Richmond,Geelong,76,85,1.63,2.28
01/05/15,MCG,Carlton,Collingwood,45,120,2.41,1.58
26/04/15,Etihad Stadium,Western Bulldogs,Adelaide,125,68,3.59,1.29
26/04/15,Simonds Stadium,Geelong,North Melbourne,67,83,2.26,1.63
26/04/15,Gabba,Brisbane,West Coast,65,118,2.7,1.46
25/04/15,Domain Stadium,Fremantle,Sydney,74,60,1.6,2.36
25/04/15,Adelaide Oval,Port Adelaide,Hawthorn,99,91,2.43,1.56
25/04/15,StarTrack Oval Canberra,GWS Giants,Gold Coast,119,53,1.39,2.97
25/04/15,MCG,Essendon,Collingwood,49,69,1.41,2.91
25/04/15,Westpac Stadium,St Kilda,Carlton,81,121,3.14,1.36
24/04/15,MCG,Richmond,Melbourne,51,83,1.31,3.46
19/04/15,Domain Stadium,West Coast,Fremantle,81,111,3.88,1.27
19/04/15,Simonds Stadium,Geelong,Gold Coast,105,96,1.17,5.2
